Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,3023,435,104.92,0,23.15
2,3971,66,18.36,5,23.15
3,4243,89,21.05,10,23.15
4,4932,71,19.06,15,23.05
5,6270,97,21.75,20,23.15
6,6293,50,15.67,25,22.94
7,6327,99,21.91,30,23.15
8,6568,231,39.55,35,23.15
9,6609,524,150.73,40,23.05
10,8339,74,19.44,45,23.15
11,9136,56,16.76,50,23.15
12,9472,66,18.36,55,23.05
13,9870,163,28.20,60,23.15
14,10227,143,25.74,65,23.37
15,10737,89,21.05,70,23.15
16,10933,135,24.92,75,23.15
17,10948,127,24.18,80,23.15
18,12435,204,34.73,85,23.05
19,12601,99,21.91,90,23.15
20,13146,51,15.86,95,23.15
21,13422,121,23.66,100,22.94
22,13585,286,49.78,105,23.15
23,14305,69,18.79,110,23.15
24,16057,319,57.64,115,23.15
25,16130,76,19.69,120,23.15
26,16584,127,24.18,125,23.15
27,16600,79,20.03,130,23.15
28,16679,92,21.32,135,23.37
29,17015,89,21.05,140,23.15
30,17028,199,33.86,145,23.15
31,17883,177,30.25,150,23.15
32,18372,56,16.76,155,23.15
33,18719,51,15.86,160,23.15
34,19011,271,46.93,165,23.15
35,20467,359,69.86,170,23.15
36,22754,92,21.32,175,23.15
37,23217,49,15.48,180,23.37
38,23330,147,26.19,185,23.15
39,23592,51,15.86,190,23.15
40,23866,51,15.86,195,23.15
41,25917,99,21.91,200,23.15
42,26571,57,16.93,205,23.37
43,27991,71,19.06,210,23.15
44,28113,57,16.93,215,23.15
45,28261,281,48.90,220,23.05
46,28640,451,113.08,225,23.15
47,29957,71,19.06,230,23.05
48,30408,120,23.58,235,23.15
49,30875,242,41.58,240,23.15
50,31393,88,20.96,245,23.05
51,32367,122,23.75,250,23.15
52,32962,126,24.09,255,23.26
53,33532,51,15.86,260,23.15
54,34938,88,20.96,265,23.15
55,34999,408,90.57,270,23.15
56,37035,387,81.05,275,23.15
57,37478,115,23.18,280,23.15
58,38449,135,24.92,285,23.15
59,38654,280,48.67,290,23.26
60,38695,270,46.71,295,23.15
61,38724,240,41.21,300,23.15
62,39459,71,19.06,305,23.15
63,39761,255,43.96,310,23.15
64,40009,143,25.74,315,23.15
65,40758,103,22.23,320,23.05
66,42853,312,55.68,325,23.15
67,43026,71,19.06,330,23.15
68,43378,140,25.42,335,23.15
69,43468,67,18.51,340,23.15
70,43726,359,69.86,345,23.15
71,44195,143,25.74,350,23.15
