Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,2531,57,16.93,0,22.51
2,2957,71,19.06,5,22.51
3,3336,163,28.20,10,22.29
4,3934,127,24.18,15,22.40
5,5923,63,17.91,20,22.51
6,6266,78,19.92,25,22.29
7,6410,444,109.09,30,22.51
8,7747,83,20.46,35,22.51
9,7798,147,26.19,40,22.51
10,7939,323,58.48,45,22.51
11,7963,199,33.86,50,22.62
12,8176,270,46.71,55,22.51
13,8442,88,20.96,60,22.40
14,9648,248,42.69,65,22.72
15,10507,79,20.03,70,22.72
16,11428,67,18.51,75,22.51
17,11470,70,18.93,80,22.51
18,11830,60,17.43,85,22.51
19,12104,78,19.92,90,22.51
20,12585,377,76.28,95,22.62
21,13462,103,22.23,100,22.51
22,14798,70,18.93,105,22.51
23,15166,90,21.14,110,22.51
24,15344,127,24.18,115,22.72
25,16239,71,19.06,120,22.51
26,16303,94,21.50,125,22.40
27,16835,760,464.80,130,22.51
28,18108,249,42.85,135,22.51
29,18818,51,15.86,140,22.40
30,19019,184,31.36,145,22.40
31,19158,263,45.37,150,22.51
32,20192,204,34.73,155,22.72
33,20856,57,16.93,160,22.72
34,21217,499,141.24,165,22.40
35,21584,76,19.69,170,22.40
36,22041,51,15.86,175,22.72
37,22233,121,23.66,180,22.40
38,23602,112,22.94,185,22.51
39,23712,220,37.58,190,22.51
40,23891,99,21.91,195,22.51
41,24795,463,119.23,200,22.51
42,25794,83,20.46,205,22.62
43,26056,63,17.91,210,22.62
44,26940,339,62.98,215,22.51
45,27554,124,23.92,220,22.51
46,28950,52,16.04,225,22.40
47,28981,97,21.75,230,22.51
48,29661,131,24.54,235,22.51
49,30501,57,16.93,240,22.51
50,30903,113,23.02,245,22.40
51,31242,384,80.08,250,22.40
52,31966,120,23.58,255,22.72
53,33319,99,21.91,260,22.72
54,33457,96,21.67,265,22.51
55,33922,63,17.91,270,22.51
56,33950,73,19.32,275,22.62
57,34077,71,19.06,280,22.62
58,34162,227,38.83,285,22.40
59,34604,53,16.22,290,22.62
60,35226,120,23.58,295,22.62
61,35689,178,30.40,300,22.62
62,35788,167,28.76,305,22.51
63,36099,355,68.30,310,22.62
64,36659,103,22.23,315,22.72
65,36869,127,24.18,320,22.62
66,38235,167,28.76,325,22.51
67,39293,124,23.92,330,22.40
68,41088,230,39.39,335,22.62
69,41444,78,19.92,340,22.51
70,42193,304,53.73,345,22.72
71,45244,108,22.63,350,22.62
72,50156,97,21.75,355,22.62
73,51385,79,20.03,360,22.72
74,51392,62,17.75,365,22.83
75,51838,120,23.58,370,22.83
76,53970,63,17.91,375,22.83
77,56528,56,16.76,380,23.05
78,57268,97,21.75,385,22.72
79,57326,66,18.36,390,22.94
80,57539,117,23.34,395,22.83
81,57987,108,22.63,400,22.94
82,58175,390,82.70,405,22.83
83,59666,207,35.26,410,22.94
84,59770,61,17.60,415,22.72
85,60228,112,22.94,420,22.72
86,60368,50,15.67,425,23.05
87,60453,108,22.63,430,22.83
88,60578,89,21.05,435,22.62
89,61384,124,23.92,440,22.51
90,62939,60,17.43,445,22.94
91,63232,430,101.41,450,23.05
92,63439,654,259.18,455,22.72
93,64050,67,18.51,460,22.83
94,64755,255,43.96,465,22.72
95,65021,273,47.25,470,22.94
96,65525,753,514.96,475,22.62
97,66058,252,43.42,480,23.15
98,66161,63,17.91,485,22.72
99,66765,67,18.51,490,22.83
100,69445,307,54.48,495,22.72
101,69797,63,17.91,500,22.83
102,71162,56,16.76,505,22.94
103,72122,110,22.78,510,22.72
104,72259,51,15.86,515,22.72
105,73145,79,20.03,520,22.94
106,73705,67,18.51,525,22.83
107,74195,569,185.56,530,22.83
108,74256,163,28.20,535,22.83
109,76094,51,15.86,540,22.72
110,78953,115,23.18,545,22.72
111,79375,79,20.03,550,22.72
112,79664,149,26.42,555,22.83
113,79691,71,19.06,560,22.94
114,80337,126,24.09,565,22.94
115,80379,56,16.76,570,22.83
116,80394,92,21.32,575,22.83
117,80984,184,31.36,580,22.94
118,81200,227,38.83,585,22.83
119,81434,79,20.03,590,22.62
120,81769,225,38.48,595,22.94
121,83087,326,59.13,600,22.83
122,84461,103,22.23,605,22.72
123,85011,110,22.78,610,22.94
124,85794,63,17.91,615,22.94
125,86003,54,16.41,620,22.83
126,86454,199,33.86,625,22.72
127,87059,60,17.43,630,22.72
128,87661,327,59.28,635,22.94
129,87828,103,22.23,640,22.62
130,88642,71,19.06,645,22.94
131,89083,207,35.26,650,22.94
132,89109,209,35.61,655,22.83
133,90378,83,20.46,660,22.83
134,90664,63,17.91,665,22.72
135,90943,89,21.05,670,22.94
136,92548,88,20.96,675,22.83
137,93263,99,21.91,680,22.83
138,93522,88,20.96,685,22.62
139,93563,53,16.22,690,22.83
140,94231,62,17.75,695,23.15
141,94365,206,35.07,700,22.94
142,94630,57,16.93,705,22.94
143,94734,412,92.93,710,22.83
144,94787,51,15.86,715,22.62
145,94942,354,67.99,720,22.94
146,95901,527,155.96,725,23.05
147,95970,76,19.69,730,22.72
148,96057,92,21.32,735,22.62
149,97120,61,17.60,740,22.72
150,97265,127,24.18,745,23.05
151,97817,57,16.93,750,22.72
152,98458,63,17.91,755,22.94
153,99015,59,17.27,760,22.94
154,99281,263,45.37,765,22.83
155,99668,78,19.92,770,22.94
156,99718,79,20.03,775,23.15
