Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,2993,294,51.51,0,23.48
2,3833,56,16.76,5,23.15
3,4068,58,17.10,10,23.15
4,4948,50,15.67,15,23.15
5,5831,67,18.51,20,23.15
6,5864,204,34.73,25,23.15
7,6550,67,18.51,30,23.15
8,6696,291,50.97,35,23.37
9,7099,352,66.89,40,23.37
10,7811,71,19.06,45,23.37
11,9229,193,32.84,50,23.15
12,9523,236,40.44,55,23.58
13,9629,185,31.51,60,23.37
14,9801,76,19.69,65,23.15
15,10738,96,21.67,70,23.15
16,10763,252,43.42,75,23.37
17,12936,58,17.10,80,23.15
18,13307,480,130.21,85,23.37
19,13536,251,43.19,90,23.15
20,13755,211,35.96,95,23.15
21,14827,384,80.08,100,23.15
22,15349,56,16.76,105,23.37
23,16015,103,22.23,110,23.15
24,16489,99,21.91,115,23.15
25,16954,71,19.06,120,23.48
26,18365,159,27.66,125,23.15
27,18422,76,19.69,130,23.05
28,18478,120,23.58,135,23.15
29,19058,172,29.49,140,23.15
30,19423,305,53.88,145,23.15
31,19489,92,21.32,150,23.15
32,20045,263,45.37,155,23.15
33,20096,126,24.09,160,23.15
34,20593,89,21.05,165,23.15
35,22336,63,17.91,170,23.15
36,24032,177,30.25,175,23.15
37,25353,140,25.42,180,23.15
38,25563,159,27.66,185,23.15
39,26005,147,26.19,190,23.15
40,27156,595,212.63,195,23.15
41,28182,760,464.80,200,23.15
42,28923,231,39.55,205,23.15
43,29358,156,27.28,210,23.15
44,29656,248,42.69,215,23.15
45,29776,56,16.76,220,23.15
46,30137,67,18.51,225,23.15
47,30239,249,42.85,230,23.15
48,30750,261,45.09,235,23.15
49,30854,274,47.52,240,23.15
50,30866,63,17.91,245,23.15
51,31059,358,69.10,250,23.37
52,31242,179,30.55,255,23.15
53,31416,71,19.06,260,23.15
54,31533,56,16.76,265,23.15
55,33496,476,129.76,270,23.15
56,34242,103,22.23,275,23.15
57,34310,63,17.91,280,23.15
58,34347,101,22.08,285,23.15
59,34661,63,17.91,290,23.05
60,34904,96,21.67,295,23.15
61,35734,357,68.97,300,23.15
62,35997,170,29.19,305,23.15
63,36741,307,54.48,310,23.15
64,37020,71,19.06,315,23.15
65,37459,63,17.91,320,23.37
66,38780,71,19.06,325,23.15
67,39388,357,68.97,330,23.15
68,40110,89,21.05,335,23.15
69,40249,295,51.75,340,23.15
70,41378,88,20.96,345,23.15
71,41391,56,16.76,350,23.15
72,41775,57,16.93,355,23.05
73,42656,76,19.69,360,23.15
74,42868,159,27.66,365,23.05
75,42904,79,20.03,370,23.15
76,44354,79,20.03,375,23.15
77,45293,432,101.61,380,23.15
78,45528,60,17.43,385,23.15
79,46611,96,21.67,390,23.15
80,46862,92,21.32,395,23.15
81,47004,71,19.06,400,23.15
82,47517,483,132.60,405,23.15
83,48831,423,97.36,410,23.15
84,48993,547,162.22,415,23.15
85,49516,280,48.67,420,23.05
86,49985,274,47.52,425,23.15
87,50055,135,24.92,430,23.15
88,51098,339,62.98,435,23.05
89,51278,353,67.64,440,23.15
90,51464,370,73.62,445,23.15
91,52163,53,16.22,450,23.15
92,52782,56,16.76,455,23.15
93,52829,51,15.86,460,23.15
94,54105,114,23.10,465,23.15
95,54477,216,36.85,470,23.15
96,54874,94,21.50,475,23.05
97,55286,89,21.05,480,23.15
98,56408,113,23.02,485,23.15
99,56612,280,48.67,490,23.05
100,57791,50,15.67,495,23.15
101,57856,67,18.51,500,23.15
102,57998,121,23.66,505,23.15
103,58054,60,17.43,510,23.15
104,58140,638,261.42,515,23.05
105,59390,53,16.22,520,23.15
106,59998,57,16.93,525,23.15
107,60038,60,17.43,530,23.15
108,60150,159,27.66,535,23.15
109,60284,71,19.06,540,23.15
110,61772,85,20.67,545,23.15
111,62171,112,22.94,550,23.15
112,63194,67,18.51,555,23.15
113,63550,71,19.06,560,23.15
114,63930,79,20.03,565,23.15
115,64641,334,61.44,570,23.15
