Comp_date,Comp_time,Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,2735,77,19.81,0,24.44,,
2,2903,51,15.86,5,24.44,,
3,3262,101,22.08,10,24.44,,
4,5767,300,52.79,15,24.34,,
5,5997,614,229.43,20,24.44,,
6,6358,73,19.32,25,24.44,,
7,7332,120,23.58,30,24.44,,
8,9490,268,46.26,35,24.44,,
9,9649,600,203.87,40,24.34,,
10,10181,112,22.94,45,24.34,,
11,13669,135,24.92,50,24.44,,
12,13919,97,21.75,55,24.44,,
13,14882,199,33.86,60,24.44,,
14,15996,355,68.3,65,24.44,,
15,16284,108,22.63,70,24.44,,
16,16693,261,45.09,75,24.44,,
17,17134,94,21.5,80,24.34,,
18,17664,57,16.93,85,24.44,,
19,18119,62,17.75,90,24.44,,
20,18535,62,17.75,95,24.44,,
21,19015,359,69.86,100,24.44,,
22,19356,316,56.81,105,24.44,,
23,19363,108,22.63,110,24.44,,
24,19443,63,17.91,115,24.44,,
25,20189,48,15.29,120,24.44,,
26,21080,335,61.77,125,24.44,,
27,21214,154,27.02,130,24.44,,
28,22436,89,21.05,135,24.44,,
29,23148,323,58.48,140,24.44,,
30,23182,312,55.68,145,24.44,,
31,23458,71,19.06,150,24.44,,
32,24206,60,17.43,155,24.44,,
33,24355,224,38.29,160,24.44,,
34,24611,159,27.66,165,24.44,,
35,24867,79,20.03,170,24.44,,
36,26335,252,43.42,175,24.44,,
37,27743,319,57.64,180,24.44,,
38,28027,390,82.7,185,24.44,,
39,28869,54,16.41,190,24.44,,
40,30951,224,38.29,195,24.44,,
41,31465,172,29.49,200,24.44,,
42,31789,79,20.03,205,24.44,,
43,31830,380,78.12,210,24.44,,
44,32974,207,35.26,215,24.44,,
45,34616,110,22.78,220,24.44,,
46,36092,56,16.76,225,24.44,,
47,36500,255,43.96,230,24.44,,
48,37292,335,61.77,235,24.44,,
49,38194,385,80.11,240,24.44,,
50,38536,282,49.11,245,24.44,,
51,39152,254,43.77,250,24.44,,
52,39914,476,129.76,255,24.44,,
53,41040,48,15.29,260,24.44,,
54,41184,165,28.48,265,24.44,,
55,42551,76,19.69,270,24.44,,
56,44409,254,43.77,275,24.44,,
57,44443,97,21.75,280,24.44,,
58,46170,122,23.75,285,24.44,,
59,46843,51,15.86,290,24.44,,
60,47022,335,61.77,295,24.44,,
61,47454,65,18.22,300,24.44,,
62,48353,225,38.48,305,24.44,,
63,49302,255,43.96,310,24.44,,
64,49430,275,47.73,315,24.44,,
65,50373,284,49.41,320,24.44,,
66,50404,236,40.44,325,24.44,,
67,50414,143,25.74,330,24.44,,
68,51001,70,18.93,335,24.44,,
69,51042,88,20.96,340,24.44,,
70,51603,199,33.86,345,24.44,,
71,51999,286,49.78,350,24.44,,
72,52084,327,59.28,355,24.44,,
73,52652,71,19.06,360,24.44,,
74,53817,110,22.78,365,24.44,,
75,56395,113,23.02,370,24.44,,
76,56425,60,17.43,375,24.44,,
77,56752,263,45.37,380,24.44,,
78,56896,127,24.18,385,24.44,,
79,57067,89,21.05,390,24.44,,
80,57967,127,24.18,395,24.44,,
81,58064,455,117.03,400,24.44,,
82,59345,115,23.18,405,24.44,,
83,60525,96,21.67,410,24.44,,
84,60759,179,30.55,415,24.44,,
85,62457,177,30.25,420,24.44,,
86,62474,83,20.46,425,24.44,,
87,62823,69,18.79,430,24.44,,
88,63229,261,45.09,435,24.44,,
89,64368,71,19.06,440,24.44,,
90,65731,274,47.52,445,24.44,,
91,66246,216,36.85,450,24.44,,
92,66689,53,16.22,455,24.44,,
93,67584,444,109.09,460,24.44,,
94,70231,57,16.93,465,24.44,,
95,70581,97,21.75,470,24.44,,
96,71386,79,20.03,475,24.44,,
97,71778,66,18.36,480,24.44,,
98,72538,513,148.53,485,24.44,,
99,73781,291,50.97,490,24.44,,
100,74651,53,16.22,495,24.44,,
101,75043,102,22.15,500,24.44,,
102,76216,652,262.1,505,24.44,,
103,77360,318,57.28,510,24.77,,
104,77497,213,36.33,515,24.44,,
105,77645,391,82.35,520,24.44,,
106,79072,263,45.37,525,24.44,,
107,79094,334,61.44,530,24.44,,
108,81853,78,19.92,535,24.44,,
109,82035,174,29.79,540,24.44,,
110,84927,79,20.03,545,24.44,,
111,85305,113,23.02,550,24.98,,
112,87930,62,17.75,555,24.44,,
113,88298,387,81.05,560,24.44,,
114,88992,51,15.86,565,24.44,,
115,89052,159,27.66,570,24.44,,
116,89955,209,35.61,575,24.44,,
117,90600,281,48.9,580,24.44,,
118,90878,86,20.77,585,24.44,,
119,91716,134,24.82,590,24.44,,
120,92306,112,22.94,595,24.66,,
121,93799,504,143.61,600,24.44,,
122,94016,60,17.43,605,24.44,,
123,94298,57,16.93,610,24.44,,
124,94746,53,16.22,615,24.44,,
125,95097,158,27.53,620,24.44,,
126,95455,263,45.37,625,24.44,,
127,95943,235,40.29,630,24.44,,
128,97852,220,37.58,635,24.44,,
129,98786,286,49.78,640,24.44,,
130,99733,49,15.48,645,24.44,,
131,99926,93,21.41,650,24.44,,
132,100301,262,45.24,655,24.44,,
133,102600,60,17.43,661,24.44,,
134,102664,63,17.91,666,24.44,,
135,102849,313,56.02,671,24.66,,
136,102898,57,16.93,676,24.44,,
137,102929,113,23.02,681,24.44,,
138,103924,704,326.52,686,24.44,,
139,104716,659,253.36,691,24.44,,
140,104778,63,17.91,696,24.44,,
141,105154,207,35.26,701,24.44,,
142,107750,112,22.94,706,24.44,,
143,108454,120,23.58,711,24.44,,
144,108676,348,65.64,716,24.44,,
145,108746,112,22.94,721,24.44,,
146,108802,188,32.01,726,24.44,,
147,109813,93,21.41,731,24.44,,
148,110351,85,20.67,736,24.44,,
149,110408,327,59.28,741,24.44,,
150,110528,96,21.67,746,24.44,,
151,112594,348,65.64,751,24.44,,
152,114067,57,16.93,756,24.44,,
153,116964,79,20.03,761,24.44,,
154,118157,88,20.96,766,24.66,,
155,118542,230,39.39,771,24.77,,
156,118564,314,56.08,776,24.44,,
157,119418,252,43.42,781,24.44,,
158,120501,103,22.23,786,24.44,,
159,120714,79,20.03,791,24.44,,
160,121256,195,33.17,796,24.44,,
161,121966,92,21.32,801,24.44,,
162,122037,172,29.49,806,24.66,,
163,124048,51,15.86,811,24.44,,
164,124102,116,23.26,816,24.44,,
165,124215,280,48.67,821,24.44,,
166,124549,364,71.71,826,24.44,,
167,125352,480,130.21,831,24.66,,
168,125528,61,17.6,836,24.44,,
169,125650,96,21.67,841,24.44,,
170,125907,102,22.15,846,24.44,,
171,125961,307,54.48,851,24.44,,
172,126244,56,16.76,856,24.44,,
173,126526,497,142.37,861,24.44,,
174,126960,335,61.77,866,24.44,,
175,127235,217,37.04,871,24.44,,
176,127310,127,24.18,876,24.44,,
177,128122,494,141.37,881,24.44,,
178,129605,109,22.7,887,24.44,,
179,129613,235,40.29,892,24.44,,
180,130382,88,20.96,898,24.44,,
181,131373,287,50.23,903,24.44,,
182,131995,313,56.02,908,24.66,,
183,133633,287,50.23,913,24.66,,
184,133671,339,62.98,918,24.44,,
185,133756,71,19.06,923,24.87,,
186,135048,83,20.46,928,24.44,,
187,136221,63,17.91,933,24.44,,
188,136578,332,61.17,938,24.77,,
189,137357,248,42.69,943,24.44,,
190,139204,124,23.92,949,24.44,,
191,140286,216,36.85,954,24.44,,
192,140631,231,39.55,959,24.44,,
193,142863,224,38.29,964,24.77,,
194,145314,227,38.83,969,24.44,,
195,146889,287,50.23,974,24.44,,
196,147163,71,19.06,979,24.98,,
197,147218,262,45.24,984,24.44,,
198,147780,67,18.51,990,24.44,,
199,148786,83,20.46,995,24.44,,
200,149382,56,16.76,1000,24.44,,
201,149770,229,39.22,1005,24.44,,
202,149828,51,15.86,1010,24.77,,
203,150447,348,65.64,1015,24.98,,
204,150822,243,41.74,1020,24.44,,
205,151232,135,24.92,1026,24.44,,
206,152019,211,35.96,1032,24.44,,
207,152902,193,32.84,1037,24.44,,
208,153071,280,48.67,1042,24.44,,
209,153641,99,21.91,1048,24.66,,
210,155146,113,23.02,1053,24.44,,
