Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,2885,57,16.93,0,23.48
2,3842,508,144.95,5,23.48
3,3895,255,43.96,10,23.69
4,4306,76,19.69,15,23.37
5,4593,79,20.03,20,23.48
6,4614,63,17.91,25,23.48
7,5406,240,41.21,30,23.80
8,5522,368,72.93,35,23.80
9,5934,76,19.69,40,23.15
10,6163,56,16.76,45,23.69
11,7226,327,59.28,50,23.48
12,7900,316,56.81,55,23.37
13,7937,140,25.42,60,23.69
14,8812,48,15.29,65,23.48
15,9076,199,33.86,70,23.80
16,9271,145,25.96,75,23.69
17,9692,435,104.92,80,23.48
18,9840,63,17.91,85,23.48
19,10478,287,50.23,90,23.48
20,11315,102,22.15,95,24.01
21,12060,103,22.23,100,23.69
22,12235,176,30.09,105,23.58
23,12547,83,20.46,110,23.48
24,13444,83,20.46,115,23.48
25,14414,131,24.54,120,23.69
26,14567,56,16.76,125,23.37
27,14756,211,35.96,130,23.37
28,15301,359,69.86,135,23.15
29,15815,83,20.46,140,23.48
30,15988,57,16.93,145,23.69
31,16046,265,45.75,150,23.69
32,16327,199,33.86,155,23.48
33,16402,359,69.86,160,23.48
34,16427,185,31.51,165,23.58
35,16501,63,17.91,170,23.80
36,16747,60,17.43,175,24.01
37,17107,56,16.76,180,23.80
38,17882,79,20.03,185,23.58
39,18770,71,19.06,190,23.91
40,19075,56,16.76,195,23.69
41,19255,225,38.48,200,23.80
42,19740,391,82.35,205,23.69
43,19820,181,30.87,210,23.37
44,20418,271,46.93,215,23.37
45,22219,261,45.09,220,23.69
46,22496,63,17.91,225,23.37
47,26393,105,22.39,230,23.37
48,26982,376,76.43,235,23.69
49,27599,252,43.42,240,23.58
50,27823,142,25.64,245,23.69
51,28428,391,82.35,250,23.48
52,28456,67,18.51,255,23.80
53,29064,70,18.93,260,23.80
54,29314,147,26.19,265,23.58
55,29328,103,22.23,270,23.69
56,30417,56,16.76,275,23.48
57,30461,56,16.76,280,24.01
58,31579,61,17.60,285,23.58
59,32089,92,21.32,290,23.80
60,32773,221,37.76,295,23.80
61,32945,63,17.91,300,23.80
62,33368,88,20.96,305,23.69
63,33435,330,60.13,310,23.80
64,34588,179,30.55,315,23.37
65,34679,327,59.28,320,23.69
66,35217,193,32.84,325,23.91
67,36617,63,17.91,330,23.48
68,37715,127,24.18,335,23.69
69,38301,60,17.43,340,23.58
70,38650,49,15.48,345,23.15
71,39218,61,17.60,350,23.69
72,39558,344,64.67,355,23.48
73,39565,71,19.06,360,23.69
74,40351,177,30.25,365,23.80
75,40842,286,49.78,370,23.69
76,41017,63,17.91,375,23.80
77,41092,57,16.93,380,23.69
78,41218,127,24.18,385,23.58
79,41339,78,19.92,390,23.80
80,41519,53,16.22,395,23.69
81,41559,58,17.10,400,23.80
82,42481,49,15.48,405,23.91
83,42752,96,21.67,410,23.80
84,43264,120,23.58,415,23.48
85,44212,51,15.86,420,24.01
86,44515,83,20.46,425,23.58
87,45385,71,19.06,430,23.80
88,45971,109,22.70,435,23.48
89,46136,241,41.39,440,23.91
90,46765,423,97.36,445,23.69
91,47150,268,46.26,450,23.69
92,47322,371,73.82,455,23.37
93,48230,63,17.91,460,23.48
94,48455,204,34.73,465,23.91
95,48627,51,15.86,470,23.37
96,48647,572,183.73,475,23.80
97,48923,57,16.93,480,23.37
98,49064,455,117.03,485,23.69
99,49256,71,19.06,490,23.69
100,49333,70,18.93,495,23.80
101,49378,135,24.92,500,23.80
102,50416,177,30.25,505,23.69
103,50719,268,46.26,510,23.58
104,51867,96,21.67,515,24.01
105,51931,300,52.79,520,23.58
106,52575,56,16.76,525,23.80
107,52999,51,15.86,530,24.12
108,53414,69,18.79,535,23.80
109,54789,67,18.51,540,24.12
110,55103,51,15.86,545,23.69
111,55150,112,22.94,550,23.69
112,55244,56,16.76,555,23.58
113,55453,227,38.83,560,23.91
114,55501,385,80.11,565,23.91
115,56516,51,15.86,570,23.69
116,56655,206,35.07,575,23.58
117,56950,313,56.02,580,23.48
118,58608,60,17.43,585,23.80
119,58912,131,24.54,590,23.80
120,59078,185,31.51,596,24.01
121,59847,103,22.23,601,24.12
122,60546,89,21.05,606,23.69
123,60888,275,47.73,611,23.69
124,61317,56,16.76,616,23.69
125,61816,77,19.81,621,23.58
126,61990,66,18.36,626,23.91
127,62148,156,27.28,631,23.69
128,62735,71,19.06,636,23.58
129,63192,54,16.41,641,23.91
130,64478,99,21.91,646,23.69
131,65040,48,15.29,651,23.48
132,65251,57,16.93,656,23.80
133,65519,127,24.18,661,23.69
