Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,2944,99,21.91,0,22.19
2,3077,359,69.86,5,21.97
3,3606,127,24.18,10,22.19
4,3613,57,16.93,15,22.19
5,3857,391,82.35,20,22.19
6,4016,304,53.73,25,22.19
7,4760,728,431.28,30,22.19
8,5436,88,20.96,35,22.19
9,5559,390,82.70,40,22.19
10,5626,105,22.39,45,22.19
11,7535,206,35.07,50,22.19
12,7542,103,22.23,55,22.19
13,7743,90,21.14,60,22.19
14,8166,62,17.75,65,22.19
15,8246,199,33.86,70,22.19
16,8734,88,20.96,75,22.19
17,8753,96,21.67,80,21.97
18,8943,53,16.22,85,22.19
19,10272,69,18.79,90,22.19
20,10942,96,21.67,95,22.19
21,13280,88,20.96,100,22.19
22,13915,126,24.09,105,21.97
23,14767,287,50.23,110,22.19
24,15239,184,31.36,115,22.19
25,16289,192,32.67,120,22.19
26,16560,56,16.76,125,22.19
27,17193,110,22.78,130,22.19
28,18790,94,21.50,135,22.19
29,19314,63,17.91,140,22.19
30,19567,220,37.58,145,21.97
31,19846,114,23.10,150,22.19
32,20052,67,18.51,155,22.19
33,21078,252,43.42,160,22.19
34,21174,51,15.86,165,21.97
35,22530,220,37.58,170,22.19
36,22763,79,20.03,175,22.19
37,22875,216,36.85,180,22.19
38,23226,195,33.17,185,22.19
39,23335,67,18.51,190,22.19
40,23734,366,72.41,195,22.19
41,23885,63,17.91,200,21.97
42,25588,71,19.06,205,21.97
43,25766,231,39.55,210,22.19
44,27879,53,16.22,215,22.19
45,27934,76,19.69,220,22.19
46,28062,51,15.86,225,22.19
47,28611,56,16.76,230,21.97
48,28740,83,20.46,235,22.19
49,29203,60,17.43,240,22.19
50,30066,295,51.75,245,21.97
51,30443,63,17.91,250,22.19
52,31657,107,22.55,255,22.19
53,32034,112,22.94,260,21.97
54,32051,51,15.86,265,22.19
55,32655,240,41.21,270,22.19
56,33243,62,17.75,275,22.19
57,33366,305,53.88,280,21.76
58,34172,249,42.85,285,22.19
59,34806,99,21.91,290,22.19
60,34955,127,24.18,295,22.19
61,35308,88,20.96,300,22.19
62,35383,57,16.93,305,21.97
63,35537,355,68.30,310,21.97
64,36154,287,50.23,315,22.19
65,36275,120,23.58,320,22.19
66,36656,63,17.91,325,22.19
67,37475,56,16.76,330,22.19
68,37650,102,22.15,335,22.19
69,37962,50,15.67,340,22.19
70,38217,384,80.08,345,21.97
71,38547,399,87.30,350,22.19
72,38638,63,17.91,355,22.19
73,39341,352,66.89,360,21.97
74,39432,370,73.62,365,22.19
75,39999,277,48.09,370,22.19
76,40884,63,17.91,375,21.97
77,40992,448,112.41,380,21.97
78,41806,188,32.01,385,21.97
79,42068,71,19.06,390,22.19
80,42260,225,38.48,395,22.19
81,43374,192,32.67,400,22.19
82,43432,103,22.23,405,22.19
83,43754,83,20.46,410,22.19
84,44228,275,47.73,415,21.97
85,44240,112,22.94,420,22.19
86,44578,63,17.91,425,22.19
87,45930,60,17.43,430,22.19
88,46694,67,18.51,435,22.19
89,47185,57,16.93,440,21.97
90,48427,103,22.23,445,21.97
91,48435,97,21.75,450,22.19
92,48520,82,20.36,455,22.19
93,48585,98,21.83,460,22.19
94,49789,56,16.76,465,22.19
95,49915,444,109.09,470,22.08
96,50460,57,16.93,475,22.19
97,50492,262,45.24,480,21.97
98,50600,71,19.06,485,22.19
99,50829,224,38.29,490,22.19
100,50869,62,17.75,495,21.97
101,51179,437,106.21,500,22.19
102,51296,194,33.00,505,22.08
103,51608,142,25.64,510,22.19
104,52364,63,17.91,515,22.19
105,54128,181,30.87,520,22.19
106,54312,71,19.06,525,22.19
107,54815,204,34.73,530,22.19
108,56412,433,104.37,535,22.19
109,56919,51,15.86,540,22.19
110,57142,178,30.40,545,22.19
111,57154,94,21.50,550,22.08
112,57849,71,19.06,555,22.19
113,59239,110,22.78,560,22.19
114,59950,56,16.76,565,22.19
115,60502,49,15.48,570,22.19
116,61868,304,53.73,575,22.19
117,62613,79,20.03,580,22.08
118,62731,67,18.51,585,22.19
119,63693,376,76.43,590,22.19
120,63803,127,24.18,595,22.19
121,64675,380,78.12,600,22.19
122,64817,51,15.86,605,22.19
123,66630,60,17.43,610,22.19
124,66640,134,24.82,615,22.19
125,68069,255,43.96,620,22.08
126,69218,195,33.17,625,22.19
127,69505,67,18.51,630,22.19
128,69999,441,109.77,635,22.19
129,70044,79,20.03,640,22.19
130,70083,53,16.22,645,22.19
131,70187,102,22.15,650,22.19
132,70217,73,19.32,655,22.19
133,70460,344,64.67,660,22.19
134,71599,231,39.55,665,22.19
135,71612,153,26.90,670,22.19
136,71678,103,22.23,675,22.19
137,71936,61,17.60,680,22.19
138,72128,79,20.03,685,22.19
139,72425,316,56.81,690,22.19
140,72501,295,51.75,695,22.19
141,72982,67,18.51,700,22.19
142,74020,53,16.22,705,22.19
143,74856,79,20.03,710,22.29
144,75217,73,19.32,715,22.19
145,75533,79,20.03,720,22.19
146,75747,255,43.96,725,22.19
147,77895,79,20.03,730,22.19
148,77905,63,17.91,735,22.19
149,78390,56,16.76,740,22.19
150,78745,94,21.50,745,22.19
151,78801,71,19.06,750,22.19
152,79303,231,39.55,755,22.19
153,82089,192,32.67,760,22.19
154,82491,126,24.09,765,22.19
155,83006,211,35.96,770,22.19
156,84271,472,125.87,775,22.19
157,84824,96,21.67,780,22.29
158,86215,387,81.05,785,22.19
159,86804,76,19.69,790,22.19
160,87103,66,18.36,795,22.19
161,87207,113,23.02,800,22.19
162,87296,102,22.15,805,22.19
163,87339,77,19.81,810,22.19
164,87477,216,36.85,815,22.19
165,88483,63,17.91,820,22.19
166,88751,67,18.51,825,22.19
167,89090,96,21.67,830,22.29
168,89223,53,16.22,835,22.19
169,91525,224,38.29,840,22.19
170,91763,313,56.02,845,22.19
171,92433,90,21.14,850,22.19
172,93442,62,17.75,855,22.19
173,93694,113,23.02,860,22.19
174,94214,57,16.93,865,22.19
175,94567,60,17.43,870,22.19
176,94605,82,20.36,875,22.19
177,94712,88,20.96,880,22.29
178,95397,57,16.93,885,22.29
179,96696,723,388.29,890,22.19
180,97356,159,27.66,895,22.19
181,97496,131,24.54,900,22.19
182,99125,76,19.69,905,22.19
183,99411,103,22.23,910,22.19
184,99630,76,19.69,915,22.19
185,99698,67,18.51,920,22.19
186,99796,60,17.43,925,22.19
187,99960,71,19.06,930,22.19
188,102171,483,132.60,935,22.29
189,103572,60,17.43,940,22.19
190,103620,57,16.93,945,22.19
191,103783,71,19.06,950,22.19
192,104310,62,17.75,955,22.19
193,104801,236,40.44,960,22.19
194,105085,142,25.64,965,22.19
195,105355,508,144.95,970,22.29
196,106079,79,20.03,975,22.19
197,107914,96,21.67,980,22.19
198,108292,463,119.23,985,22.19
199,108318,63,17.91,990,22.19
200,108464,369,73.42,996,22.19
201,109460,99,21.91,1001,22.19
202,109825,51,15.86,1006,22.19
203,110407,92,21.32,1011,22.19
204,110725,51,15.86,1016,22.19
205,111078,99,21.91,1021,22.19
206,111129,547,162.22,1026,22.19
