Comp_date,Comp_time,Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,2629,76,19.69,0,22.19,,
2,2792,71,19.06,5,22.19,,
3,3895,255,43.96,10,21.97,,
4,4297,243,41.74,15,22.19,,
5,4682,89,21.05,20,22.19,,
6,4829,73,19.32,25,22.29,,
7,5038,60,17.43,30,22.19,,
8,5796,51,15.86,35,22.19,,
9,5866,271,46.93,40,22.19,,
10,5932,487,132.65,45,22.19,,
11,5996,499,141.24,50,22.19,,
12,6989,76,19.69,55,22.19,,
13,7477,71,19.06,60,22.19,,
14,7665,295,51.75,65,22.19,,
15,8956,96,21.67,70,22.29,,
16,9525,101,22.08,75,22.19,,
17,10267,98,21.83,80,22.19,,
18,10617,56,16.76,85,22.19,,
19,11100,159,27.66,90,22.19,,
20,11620,81,20.25,95,22.19,,
21,11675,319,57.64,100,22.19,,
22,11780,198,33.69,105,22.19,,
23,12173,73,19.32,110,22.19,,
24,12221,50,15.67,115,22.19,,
25,12233,103,22.23,120,22.19,,
26,12428,89,21.05,125,22.19,,
27,13530,76,19.69,130,22.19,,
28,14017,63,17.91,135,22.19,,
29,14504,428,101.58,140,22.19,,
30,15433,158,27.53,145,22.19,,
31,15558,99,21.91,150,22.19,,
32,15790,71,19.06,155,22.19,,
33,16504,56,16.76,160,22.19,,
34,16558,53,16.22,165,22.19,,
35,17905,113,23.02,170,22.19,,
36,18142,49,15.48,175,22.19,,
37,18174,604,210.97,180,22.19,,
38,19596,112,22.94,185,22.19,,
39,20171,125,24.00,190,22.19,,
40,20273,92,21.32,195,22.19,,
41,20509,56,16.76,200,22.19,,
42,20741,480,130.21,205,22.19,,
43,20899,275,47.73,210,22.19,,
44,22014,259,44.69,215,22.19,,
45,22140,385,80.11,220,22.19,,
46,22358,334,61.44,225,22.19,,
47,23148,49,15.48,230,22.19,,
48,23260,227,38.83,235,22.19,,
49,23825,56,16.76,240,22.19,,
50,24955,51,15.86,245,22.19,,
51,25668,70,18.93,250,22.19,,
52,25827,63,17.91,255,22.19,,
53,26087,51,15.86,260,22.19,,
54,26413,57,16.93,265,22.19,,
55,26785,415,95.00,270,22.19,,
56,27442,487,132.65,275,22.29,,
57,28316,497,142.37,280,22.19,,
58,28556,120,23.58,285,22.19,,
59,28648,268,46.26,290,22.19,,
60,28712,307,54.48,295,22.19,,
61,29101,130,24.45,300,22.19,,
62,29533,51,15.86,305,22.19,,
63,29856,82,20.36,310,22.19,,
